date_key,MaxOpen,MinOpen,AverageOpen,MaxClose,MinClose,AverageClose,MaxHigh,MinHigh,AverageHigh,MaxLow,MinLow,AverageLow,MaxVolume,MinVolume,AverageVolume
65,581.05,35.75,251.2625,590.5,32.8,256.65,600.0,35.9,261.9,566.05,32.25,244.43749999999997,16239068,8586,4083546.5
66,605.0,34.1,262.7,597.35,35.45,267.1,610.0,35.45,270.2625,580.0,34.1,255.6,11686144,9008,2931747.5
67,601.0,38.0,274.225,581.45,37.95,266.8875,607.9,38.3,278.8,572.2,36.3,262.275,22110719,8021,5572258.5
68,572.2,39.9,261.9,577.9,36.7,263.0375,588.0,39.9,267.725,570.0,35.6,257.4,9759550,3735,2465098.75
69,584.0,36.3,264.95,571.2,36.95,257.1125,584.0,38.4,266.825,566.0,36.25,254.6625,17263869,4765,4329765.25
70,555.1,36.0,249.8,571.85,35.0,249.825,575.0,36.75,256.7125,555.1,34.5,244.3875,225213,7322,74611.25
71,560.0,32.2,239.1125,526.1,34.05,235.42499999999998,560.0,34.25,244.6375,526.1,32.2,230.63750000000002,15931668,6273,4008024.75
72,532.0,34.5,236.65,505.5,34.4,230.35,539.0,35.25,241.9125,491.1,33.25,224.8375,8775778,5101,2222440.75
73,539.9,35.55,241.53749999999997,521.2,33.85,237.91250000000002,539.9,36.35,245.82500000000002,510.0,32.0,231.55,16293725,2622,4096294.5
74,525.0,33.25,237.625,530.15,33.45,245.4625,548.0,33.9,250.98749999999998,503.05,32.0,230.8875,19387991,6812,4863363.0
75,528.0,33.3,246.33749999999998,505.95,32.55,237.6625,528.0,34.2,250.43750000000003,505.0,32.0,233.525,17618258,6788,4424436.75
76,505.0,31.75,232.7625,508.95,31.1,235.7125,520.0,32.85,241.5875,505.0,30.2,229.2125,15809540,11868,3980008.5
77,519.9,32.25,241.7875,520.7,33.6,247.06250000000003,524.0,33.6,248.1625,512.0,32.25,239.5625,16998445,7078,4269379.5
78,511.0,35.0,245.725,510.15,34.95,240.975,520.0,35.5,249.625,507.0,33.6,237.975,29547592,4809,7414907.75
79,520.0,35.25,243.95,505.45,34.5,238.7375,520.0,36.0,245.23749999999998,505.0,34.1,237.1,13426369,9443,3374998.75
80,502.0,36.0,238.875,505.45,35.85,234.6625,513.95,36.25,243.5875,495.0,34.3,230.1375,16424665,8326,4145337.0
81,492.05,38.0,231.2625,495.85,36.25,232.525,505.0,38.0,236.9625,485.0,34.6,223.95000000000002,13760253,4574,3464073.0
82,520.0,36.7,239.425,533.3,36.05,244.08749999999998,546.0,36.9,249.2125,506.0,35.8,235.45,11327281,5305,2859343.75
83,540.0,36.4,246.225,578.6,35.7,254.65000000000003,589.0,36.9,259.36249999999995,528.0,34.85,239.7375,11144621,6754,2827576.25
84,590.0,36.2,256.55,590.4,34.6,253.65,608.0,36.2,262.6125,580.25,34.5,250.5125,5891336,12584,1491121.75
85,579.0,34.1,249.9,589.8,36.15,254.95,595.0,36.5,257.8125,565.0,34.1,244.7,6136642,6344,1549586.75
86,608.0,35.6,260.3875,590.15,35.8,253.42499999999998,608.0,36.25,262.0375,580.0,35.05,250.08749999999998,6652614,8561,1690396.5
87,584.0,35.25,251.075,593.8,35.15,251.5375,609.95,35.55,258.375,551.5,34.5,240.0,6428965,15755,1629702.75
88,595.0,35.5,253.025,570.15,35.25,245.6,600.0,35.5,255.1375,565.0,35.0,243.575,4135346,6125,1046192.5
89,555.0,34.75,240.95,540.15,35.45,238.675,558.0,35.9,245.15,525.05,32.5,230.5125,5797353,6497,1471240.0
90,531.0,36.9,236.975,515.9,35.35,232.125,545.0,36.9,241.2,505.15,34.1,228.3125,3133472,7026,812720.25
91,530.0,35.75,237.4,512.0,37.25,232.675,540.0,38.1,242.75,488.0,35.4,225.1625,7802567,12297,1981050.5
92,513.75,37.0,232.6875,510.7,36.75,230.08749999999998,514.95,38.9,234.4,502.0,36.15,226.8125,5382755,2875,1358116.0
93,491.0,38.5,225.3125,501.85,37.05,228.55,511.95,38.5,233.35,485.0,36.6,221.9625,7967132,5496,2004740.5
94,481.1,36.0,222.525,499.05,36.15,226.875,502.7,37.0,229.39999999999998,481.1,35.6,220.8625,3117749,4529,794246.0
95,500.0,36.2,227.125,499.65,35.0,227.36249999999998,504.8,36.5,229.575,493.0,34.5,223.8125,4169391,6924,1064016.25
96,495.0,34.5,226.225,501.75,35.35,228.2125,507.9,35.9,231.39999999999998,490.0,33.3,223.58749999999998,4041968,3779,1019940.0
97,501.0,35.5,228.325,509.9,35.1,231.025,535.0,35.95,239.125,501.0,34.85,227.7375,2617268,8511,677375.0
98,510.0,34.55,231.58749999999998,549.55,34.95,242.2375,550.7,35.35,243.13750000000002,504.2,34.55,228.9125,3504803,9635,890315.0
99,559.0,35.0,245.125,584.2,35.45,257.0375,590.0,35.9,260.825,550.0,34.05,242.5125,11805354,4900,2964800.0
100,594.95,35.7,260.35,598.4,35.3,262.2625,605.0,35.75,264.775,572.0,34.8,252.98749999999998,5690548,5920,1436816.25
101,600.0,36.2,265.55,620.25,36.1,268.55,635.0,36.8,276.17499999999995,592.5,35.6,260.8,8452065,16239,2132398.5
102,600.0,35.3,262.35,607.15,35.6,262.92499999999995,614.3,36.45,267.3875,600.0,35.3,259.875,5381385,9670,1356280.0
103,600.0,35.75,261.4375,619.95,35.15,265.8125,627.0,36.15,270.4125,590.0,35.0,256.525,5846405,4502,1474106.75
104,629.0,35.7,267.85,612.8,35.4,264.5375,647.0,36.25,277.0875,610.0,35.3,262.67499999999995,10843536,3720,2720330.75
105,612.0,34.15,263.65,613.0,35.45,263.9375,619.05,35.9,267.15,600.25,34.15,259.625,3919322,6271,991036.75
106,606.0,35.8,262.92499999999995,602.15,35.6,261.23749999999995,610.0,35.8,265.04999999999995,598.0,35.2,259.3875,3752088,5470,948368.75
107,604.0,34.75,261.6625,591.6,35.9,259.3375,604.0,36.15,263.75,584.0,34.7,256.2375,4600458,3931,1166433.25
108,586.0,36.0,258.2375,589.0,35.45,258.38750000000005,603.0,36.0,265.425,585.0,35.4,256.3875,12293372,3524,3082428.0
109,594.0,35.9,260.075,586.15,32.7,256.5125,594.0,35.9,261.0,583.0,32.65,254.83749999999998,4122051,2057,1046543.25
110,600.0,32.0,259.6875,584.9,32.85,255.775,600.0,33.7,261.975,575.0,32.0,252.3875,6836937,3585,1723218.25
111,595.0,34.0,261.125,619.7,33.2,264.8,630.0,34.1,270.225,591.0,33.0,257.1625,4483842,6194,1135535.5
112,605.0,33.45,261.8625,613.2,33.45,261.425,622.0,33.8,266.825,601.0,33.0,257.275,6077043,4534,1525923.5
113,619.0,33.5,262.7,609.55,33.9,260.75,619.0,34.0,264.4,608.0,32.65,258.6625,4558790,3675,1153538.25
114,615.0,33.75,261.675,603.95,33.9,260.225,621.0,34.4,265.9625,595.0,33.7,255.77500000000003,3102806,5192,788484.75
115,609.0,34.0,261.675,599.65,33.75,258.83750000000003,609.0,34.0,262.725,595.0,33.0,256.6875,4148234,4035,1051945.75
116,590.05,33.1,257.2875,589.35,33.6,255.425,610.0,34.0,262.875,585.0,33.1,253.8375,2071279,8342,529072.25
117,594.4,33.7,257.33750000000003,592.55,33.75,260.28749999999997,596.75,34.0,262.8625,572.5,33.6,249.3375,19142742,4482,4793806.25
118,589.0,33.65,259.675,580.35,33.3,255.3375,590.0,33.95,263.025,578.0,33.15,253.61249999999998,15997583,2442,4005942.25
119,582.0,33.0,254.5,572.4,32.85,251.2,582.0,33.5,255.2125,565.0,32.6,248.3375,3465048,2356,878744.5
120,570.0,32.55,250.9125,576.55,32.55,252.71249999999998,585.35,33.4,257.1625,570.0,32.25,249.7125,7636206,8044,1920079.0
121,585.0,32.7,255.05,591.35,33.0,256.5125,593.0,33.4,257.95,580.1,32.5,253.15,1744726,1992,440499.75
122,592.0,33.6,257.46250000000003,609.0,32.9,262.7625,613.5,33.6,265.4375,591.1,32.7,256.2625,7618018,4213,1910712.25
123,609.0,32.95,262.9875,596.85,33.0,259.26250000000005,609.0,33.35,263.51250000000005,594.5,32.5,257.0125,6345573,4214,1591483.5
124,615.0,33.45,264.0375,612.7,33.55,265.0125,620.0,34.2,268.96250000000003,604.0,32.6,259.9,9853239,3462,2474265.5
125,592.0,33.05,259.575,619.05,33.1,265.7625,625.0,33.9,268.7875,592.0,33.0,258.425,5380769,3839,1356644.0
126,620.0,33.85,267.9625,617.9,33.5,268.2125,629.25,33.9,273.5,612.55,33.0,264.6,13560315,4029,3396789.75
127,611.0,33.8,265.45,609.0,34.45,268.3,616.0,34.8,270.86249999999995,600.0,33.1,262.275,14329060,1657,3591853.25
128,600.05,34.15,266.72499999999997,614.95,33.85,269.25,618.0,34.95,271.7875,600.05,33.7,264.95,7969212,4141,2002635.5
129,609.25,33.1,267.9875,617.25,33.7,271.58750000000003,630.0,34.0,275.75,609.25,33.0,266.875,9419083,5050,2365861.25
130,615.0,33.9,271.2625,628.65,33.25,276.1375,639.8,33.9,279.85,610.0,33.1,268.925,12140871,10654,3051125.0
131,640.0,33.85,279.2375,643.75,34.85,279.43749999999994,659.0,35.0,284.95,635.0,33.4,276.225,5052490,9841,1285442.75
132,652.0,35.5,281.575,649.95,37.65,280.52500000000003,653.0,37.65,283.6125,638.0,34.75,275.9375,5945560,5858,1547406.5
133,654.9,39.15,282.175,670.55,40.7,285.0375,689.0,40.7,292.3125,649.2,35.55,277.88750000000005,6403575,5959,1701673.25
134,680.0,42.9,287.73750000000007,678.3,39.05,288.11249999999995,683.9,43.65,291.175,660.0,38.75,280.35,6151343,11422,1599014.5
135,680.0,38.25,287.9375,676.1,39.6,286.6875,680.0,40.4,289.225,665.2,37.8,282.6125,3720569,17839,976542.0
136,678.0,39.4,287.725,672.9,42.25,284.9375,678.0,42.8,289.575,665.0,39.4,281.8,4178056,7081,1141861.0
137,672.0,41.3,283.375,666.05,40.9,283.3875,672.0,42.4,286.55,663.0,40.5,279.45,8901351,2437,2257653.75
138,660.0,42.0,282.225,651.65,41.8,276.4375,665.0,42.25,283.5625,650.0,39.05,274.825,10264940,3256,2662571.75
139,642.3,39.5,272.34999999999997,637.0,38.5,266.8625,645.0,40.9,273.7375,626.0,38.5,263.4125,6016447,6254,1536457.0
140,625.0,38.25,262.7,654.85,39.25,273.5875,664.0,40.5,277.2375,620.05,35.5,259.75,6604953,8436,1709231.5
141,674.0,41.0,280.125,672.15,39.95,276.05,680.0,41.05,281.91249999999997,658.0,39.05,271.8625,3880880,1469,998064.5
142,677.0,39.25,276.825,672.05,39.75,280.5125,677.25,40.05,283.95,662.0,38.7,271.96250000000003,8614501,981,2173349.5
143,670.0,40.05,281.0125,675.5,39.85,279.28749999999997,679.0,40.05,283.7625,665.0,39.15,276.08750000000003,5985200,16621,1536368.0
144,678.0,40.0,279.375,715.05,39.5,287.575,724.0,40.0,291.6,673.5,38.5,276.575,2006533,12982,537030.25
145,710.0,39.65,286.1625,699.55,38.9,283.225,715.0,39.7,288.90000000000003,685.0,38.25,278.4625,3732876,15229,967467.5
146,689.0,39.0,280.6,679.95,39.05,277.6125,690.0,39.5,281.75,657.05,38.35,270.34999999999997,1456348,9647,401692.5
147,682.0,39.35,278.45,675.8,38.95,275.98749999999995,682.0,39.4,279.475,671.0,38.7,273.625,3333675,2663,861989.25
148,671.0,39.5,275.0,678.85,37.75,274.40000000000003,680.0,39.5,277.5125,665.0,37.5,270.5375,3271743,5989,831429.0
149,671.05,37.2,271.8125,671.35,38.05,272.725,674.0,38.35,273.9625,667.0,36.1,269.3125,2471284,2304,626580.25
150,669.0,38.0,272.38750000000005,686.45,37.55,276.18750000000006,690.0,38.25,278.29999999999995,666.0,37.0,270.5,2252594,6145,590944.0
151,689.0,37.9,277.77500000000003,697.55,38.1,280.53749999999997,710.0,38.5,284.975,676.0,37.6,273.9875,2395016,4303,607773.75
152,700.0,37.5,280.8125,687.65,38.15,276.85,704.7,38.3,283.125,685.0,37.3,275.6125,1700036,4276,433121.5
153,694.0,38.75,278.5,688.6,37.8,276.82500000000005,694.0,38.75,279.3125,680.1,37.2,274.125,1951207,3400,495676.0
154,690.0,37.4,276.725,703.05,37.25,280.21250000000003,709.0,37.85,282.67499999999995,682.0,37.0,272.95,2652282,3766,671963.0
155,695.0,38.1,279.4375,702.15,37.95,282.6125,705.0,38.1,284.66249999999997,680.1,37.55,274.975,4819689,3029,1220525.5
156,692.0,37.3,280.22499999999997,689.6,37.85,279.51249999999993,696.9,38.1,283.575,685.0,37.3,277.22499999999997,6151601,2524,1544730.25
157,686.1,38.2,278.55,690.0,37.9,279.35,694.5,38.2,281.47499999999997,680.0,37.35,276.25,1834008,3430,481757.75
158,686.25,37.45,278.225,689.3,37.7,279.2125,691.0,38.0,280.475,685.0,37.45,277.45,1448300,2021,368929.5
159,690.0,37.5,279.75,681.9,37.65,277.77500000000003,690.5,37.9,281.2375,675.0,37.0,275.175,2848531,4381,723159.5
160,688.0,38.3,280.275,679.05,38.2,278.0125,688.0,38.35,282.2125,676.0,37.65,276.3125,5423766,3252,1367519.25
161,676.5,38.0,276.65,673.8,37.9,275.6375,679.9,38.25,278.6625,665.0,37.7,272.45,3300159,2797,845334.0
162,665.1,38.25,273.92499999999995,676.2,37.95,275.625,680.0,38.25,278.1625,665.1,37.55,271.975,1655254,6612,427092.5
163,688.0,38.0,278.8125,674.0,37.85,275.075,690.0,38.0,279.9,670.0,37.7,273.7625,1190817,3850,309524.5
164,661.0,38.05,271.775,679.75,37.65,276.16249999999997,681.0,38.05,277.875,661.0,37.4,270.9375,2165046,3838,554754.0
165,683.0,38.0,278.0125,675.05,38.4,276.9,683.0,38.65,279.825,672.0,37.65,274.3875,3066115,3983,779075.0
166,670.5,38.0,276.2125,668.5,38.1,275.81249999999994,670.5,38.35,277.87499999999994,666.0,37.7,273.975,2740898,4503,706011.25
167,670.1,38.0,276.75,661.8,38.05,277.9,673.5,38.5,282.2125,651.0,37.8,271.0125,7875701,11143,1985962.75
168,668.0,38.0,280.175,659.8,37.9,277.9125,668.0,38.45,281.3125,652.0,37.75,274.75,3634270,2457,924692.0
169,670.0,39.0,281.1875,664.6,39.45,281.5,679.0,40.95,286.40000000000003,650.05,38.55,274.65,9780431,10651,2473443.25
170,671.0,40.9,283.26250000000005,661.2,40.15,280.6,671.0,41.0,285.95000000000005,660.0,39.55,279.4125,7549126,14245,1925186.75
171,641.5,40.4,275.975,649.9,40.15,280.225,663.95,41.0,285.1125,640.05,39.6,274.86249999999995,5956473,14671,1526849.0
172,650.0,41.0,281.45,646.05,40.1,282.12499999999994,650.0,41.0,284.6,636.1,39.8,277.2,7055315,7362,1789018.0
173,634.0,39.0,279.25,626.1,39.85,276.98749999999995,646.0,40.55,283.9375,625.0,39.0,275.8,4331376,6911,1107862.0
174,638.0,40.45,281.1,632.1,39.65,276.3125,639.5,40.6,281.5125,630.0,39.5,274.6875,5918549,4248,1500666.5
175,638.75,39.55,277.8375,642.65,39.15,278.4,649.8,40.0,282.11249999999995,634.1,38.05,275.23749999999995,4199710,6596,1062266.0
176,649.8,39.8,280.8375,636.5,37.95,273.90000000000003,649.8,39.8,281.13749999999993,633.45,37.15,272.1875,3798828,3244,974415.25
177,640.0,37.0,273.0625,644.3,36.1,270.0625,655.0,37.0,277.5,627.0,35.5,264.45,5241140,6006,1328642.0
178,644.9,36.25,269.66249999999997,657.85,35.8,270.9375,666.0,37.35,277.47499999999997,631.1,35.05,263.0375,4866225,12267,1237602.5
179,675.0,37.0,276.6,689.0,36.95,281.85,710.0,37.0,288.05,665.5,36.25,273.125,3828743,3158,966161.0
180,701.0,37.0,284.975,693.8,37.0,283.17499999999995,708.5,37.25,287.6375,682.0,36.5,278.53749999999997,3454067,3821,878657.0
181,670.0,37.0,276.975,678.5,35.4,276.1625,684.0,37.0,280.475,663.0,34.6,271.45,4212265,6501,1068900.75
182,670.0,36.1,275.28749999999997,678.4,36.7,277.5875,694.0,37.0,282.7375,655.05,35.8,270.275,3466621,3741,877810.5
183,672.0,37.0,276.475,670.35,36.3,275.1625,675.0,37.0,277.35,665.0,35.1,272.56249999999994,2857067,2974,725800.0
184,653.5,35.35,270.72499999999997,667.8,36.95,277.22499999999997,670.0,37.0,278.8,653.5,35.35,268.7,6614226,2501,1661463.75
185,695.0,37.0,284.925,660.7,36.4,273.5375,695.0,37.2,284.975,660.0,36.05,272.5625,4924399,2275,1237465.75
186,676.0,36.55,278.0625,659.85,36.2,272.3875,676.0,36.9,278.67500000000007,655.1,35.8,270.575,2713333,3294,685883.0
187,651.0,36.0,269.175,653.1,36.05,270.95,669.9,36.3,276.075,651.0,35.55,268.6125,2996291,2830,756976.5
188,650.0,36.45,271.2875,663.15,36.6,274.91249999999997,669.9,36.65,277.2375,650.0,35.8,270.2375,1814978,2556,458641.25
189,667.0,36.5,275.4125,681.15,36.1,277.24999999999994,695.0,36.9,283.05,660.1,36.0,271.575,1717130,1753,434461.75
190,685.0,35.9,277.7375,685.85,35.95,278.65000000000003,695.0,36.2,281.5,676.6,35.1,274.85,2084877,2647,532657.5
191,688.0,36.0,279.0,701.9,35.25,282.275,707.0,36.5,285.625,681.1,35.15,276.57500000000005,2465985,1504,623656.5
192,692.0,37.0,280.5125,698.15,34.75,279.525,700.0,37.0,282.625,692.0,34.55,277.3875,2142703,5580,548118.0
193,710.0,35.0,282.0125,698.85,34.1,278.4625,716.2,35.0,284.4,676.0,33.0,271.65,1941301,3533,497685.75
194,692.0,34.25,275.9375,706.45,33.35,278.9875,710.0,34.25,282.1875,691.5,33.0,273.45,4932887,7854,1244791.0
195,700.0,35.0,277.0625,747.1,32.05,286.40000000000003,763.0,35.4,293.1625,697.25,30.8,270.2875,3820168,5871,976734.5
196,774.5,33.9,294.3625,769.1,34.65,290.9125,780.0,34.65,300.01250000000005,751.25,33.3,284.4625,4859355,5509,1245654.25
197,770.0,36.5,289.975,762.7,35.7,287.38750000000005,770.0,36.5,292.02500000000003,740.0,33.5,279.75,5873954,5230,1504682.5
198,745.0,36.5,282.5,752.7,36.65,284.38750000000005,762.0,36.95,288.08750000000003,722.0,35.5,275.1875,2711227,2823,697271.5
199,750.0,37.0,283.8,746.95,38.3,284.72499999999997,755.0,38.75,288.38750000000005,736.6,37.0,277.65,5017513,2575,1280430.0
200,731.0,36.05,281.8375,745.8,37.35,283.25,805.9,38.95,302.58750000000003,731.0,36.05,278.55,6294894,6330,1592988.5
201,736.0,37.4,280.85,744.75,37.25,279.9625,755.0,37.95,286.2375,736.0,36.2,276.8875,3537551,4093,900392.0
202,737.0,37.8,278.22499999999997,759.3,37.25,285.3125,775.0,37.8,290.1125,737.0,36.3,277.2,4991911,5636,1268829.5
203,758.5,36.15,285.425,750.15,38.1,286.53749999999997,760.05,38.35,290.225,746.1,36.15,281.9125,5484325,2104,1387573.75
